Acc;Gyr;Label
29,18778518;0,064156495;Ride
41,25955595;0,025400836;Ride
67,66844256;0,02613983;Ride
58,85343061;0,01732557;Ride
88,57509682;0,013761344;Ride
56,11034106;0,014810741;Ride
36,14932671;0,03298128;Ride
37,08090495;0,070274335;Ride
24,52485517;0,103399934;Ride
20,31978413;0,018565553;Ride
14,03291095;0,005238492;Ride
8,14807991;0,034357817;Ride
28,09124911;0,026356084;Ride
25,56738304;0,00191411;Ride
36,78403876;0,006804251;Ride
8,852273799;0,016994723;Ride
11,46136327;0,012222305;Ride
33,48638494;0,005036884;Ride
24,19445963;0,021632939;Ride
14,75897903;0,070342405;Ride
18,15535026;0,015018212;Ride
20,81519868;0,054300293;Ride
9,466040315;0,032513597;Ride
23,55783008;0,01370232;Ride
13,29133976;0,017268107;Ride
19,68983224;0,008084974;Ride
8,392567415;0,014039131;Ride
11,65161837;0,003415892;Ride
8,754129632;0,033858582;Ride
40,11689474;0,030031722;Ride
14,91323349;0,00750893;Ride
6,329425976;0,03490957;Ride
3,55768599;0,076496082;Ride
2,123510839;0,131733168;Ride
1,577948939;0,106428387;Ride
6,334244477;0,087914511;Ride
7,780144721;0,085965036;Ride
27,1780099;0,09325307;Ride
13,85936522;0,048858541;Ride
14,0757901;0,059575253;Ride
9,441114519;0,011651922;Ride
20,1694028;0,040226187;Ride
27,38996095;0,026220777;Ride
19,75517373;0,075201241;Ride
2,694657667;0,004353383;Ride
6,886719474;0,051890912;Ride
12,53876254;0,015892391;Ride
8,667925542;0,029458966;Ride
13,8550555;0,030713069;Ride
6,207158463;0,004942912;Ride
23,95994276;0,005547737;Ride
15,46548533;0,049958665;Ride
56,5526005;0,012918218;Ride
8,498157608;0,055475092;Ride
6,252505624;0,017536766;Ride
9,767192534;0,008520002;Ride
4,302879645;0,004221187;Ride
0;3,42388E-33;Ride
6,488713025;0,055516771;Ride
26,16638489;0,166472853;Ride
55,45357347;0,142612006;Ride
0;8,55969E-34;Ride
2,912415263;6,86257E-06;Ride
35,30717432;0,087164368;Ride
4,568398659;0,088723634;Ride
3,600038395;0,038769672;Ride
