Acc;Gyr;x_acc;y_acc;z_acc;x_gyr;y_gyr;z_gyr;Label
14,607664;0,262945021;13,67233922;12,9223494;20,34812079;0,006154563;0,677319396;0,045228093;Ride
7,825977854;0,024392093;4,111910049;11,95104839;9,173387791;0,004174701;0,057961803;0,008632018;Ride
10,03140717;0,010250406;3,865269475;10,6398093;6,264143528;0,001686486;0,039293256;0,004947342;Ride
16,78794569;0,039141429;3,592295199;20,91745402;6,026095037;0,001617892;0,047536011;0,004788769;Ride
19,13489612;0,0082309;2,358897105;19,2861211;12,48828777;0,004172879;0,009421537;0,001636755;Ride
10,78179177;0,038873043;2,109129981;6,976702871;14,94761361;0,010809264;0,1766377;0,006567151;Ride
76,65105098;0,038464826;5,87048415;96,24414748;19,18844125;0,01761574;0,083467888;0,001438562;Ride
16,41794214;0,022533622;0,62496066;32,3656342;14,34195273;0,003998184;0,060694847;0,003875919;Ride
15,08998543;0,035675833;2,820109635;15,96887447;5,26479877;0,003334152;0,033714274;0,008332303;Ride
12,17698947;0,033123556;1,738467436;71,32466819;8,804961971;0,00587008;0,038030292;0,005920018;Ride
11,57282245;0,005687474;2,129911233;15,34260305;7,113753543;0,002165796;0,006578581;0,00046767;Ride
9,687983699;0,022885881;1,194149063;17,75711615;7,865500305;0,003056626;0,076494022;0,001013512;Ride
14,57448645;0,02565976;4,692256464;20,27235224;15,82700921;0,003774006;0,15207393;0,024657076;Ride
34,43698936;0,084737992;7,445801234;30,03869836;29,06633363;0,011213832;0,141359782;0,007516087;Ride
22,87062971;0,021305247;4,785686978;29,5163919;12,88923639;0,002108063;0,053977768;0,005281455;Ride
9,497215276;0,026526498;2,780043659;11,8803984;7,145988293;0,002238887;0,07496412;0,013807792;Ride
26,92668373;0,040446085;2,653942735;27,42238956;9,399208336;0,006090402;0,050648599;0,008798023;Ride
17,92981751;0,030118567;2,650803141;18,83709085;10,26840882;0,002017095;0,047382824;0,005219953;Ride
23,58183952;0,001133903;2,984787015;20,80200719;13,33140563;0,003619423;0,001874769;0,000312462;Ride
